sententia -ae f.,412
sēnsus -ūs m.,205
senex -is m.,440
senātus -ūs m.,669
semper,849
semel,209
sēdēs -is f.,595
prīncipium -ī n.,50
prīnceps -cipis,681
prīmus -a -um,907
prīmum,746
prex precis f.,478
pretium -ī n.,369
premō premere pressī pressum,758
precor -ārī,506
praetor -ōris m.,120
prior prius,472
prīvātus -a -um,116
prohibeō -ēre -uī -itum,394
proficīscor -ficīscī -fectus sum,163
proelium -ī n.,650
prōdō prōdere prōdidī prōditum,69
procul,601
prōcēdō -cēdere -cessī -cessum,252
probō -āre,214
prō,870
prius or priusquam,514
praetereā,317
praeter,242
praestō -stāre -stitī -stitum,575
posterus -a -um,121
posteā,34
post,834
possum posse potuī,975
pōscō pōscere popōscī,511
portō -āre,145
porta -ae f.,239
populus -ī m.,876
postquam,614
potēns potentis,431
potestās -ātis f.,261
praesidium -ī n.,416
praesēns -ntis,176
praemium -ī n.,318
praeda -ae f.,372
praecipiō -cipere -cēpī -ceptum,53
praeceptum -ī n.,173
praebeō -ēre -uī -itum,414
potis -e,51
pontus -ī m.,368
quisque quaeque quidque,801
quemadmodum,467
que,994
quattuor,131
quasi,60
quārē,212
quantus -a -um,687
quantum,441
quandō,377
queror querī questus sum,480
quī quae quod,995
quia,866
quis quid,786
quisquam quicquam/quidquam,986
quīppe,499
quīn,542
quiēscō quiēscere quiēvī quiētum,29
quidem,862
quīdam quaedam quoddam,872
quīcumque quaecumque quodcumque,714
quamvīs,509
quamquam,354
quam,969
prōvincia -ae f.,378
prōtinus,95
prōsum prodesse profuī,625
propter,438
proprius -a -um,144
prōpōnō -pōnere -posuī -positum,68
properō -āre,461
prope,809
prōmittō -mittere -mīsī -missum,278
pūblicus -a -um,481
pudor pudōris m.,382
quālis -e,735
quaerō -rere -sīvī -sītum,885
quā,662
putō -āre,832
pulcher -chra -chrum,429
pugnō -āre,290
pūgna -ae f.,348
puer puerī m.,807
puella -ae f.,765
onus oneris n.,156
omnis -e,980
ōlim,424
officium -ī n.,391
offerō offerre obtulī oblātum,186
odium -ī n.,476
ōdī ōdisse,208
oculus -ī m.,792
occurrō -currere -cucurrī -cursum,321
occupō -āre,526
occīdō -cīdere -cīdī -cīsum,197
opera -ae f.,155
oportet -ēre -uit,192
ōs ōris n.,851
ōrō -āre,243
orior orīrī ortus sum,356
ōrdō -īnis m.,582
orbis -is m.,676
ōrātiō -ōnis f.,262
opus operis n.,666
optō -āre,581
ops opis f.,680
oppidum -ī n.,363
os ossis n.,302
ob,549
nōscō nōscere nōvī nōtum,651
nōs nostrum/nostrī nōbīs nōs,947
nōndum,562
nōn,992
nōmen -inis n.,863
nōlō nōlle nōluī,540
noceō nocēre nocuī,489
nōbilis -e,543
nimius -a -um,496
nimis or nimium,157
noster nostra nostrum,946
nōtus -a -um,521
nūntius -ī m.,79
nunc,948
numquam,747
numerus -ī m.,660
nūmen -inis n.,546
num,74
nūllus -a -um,949
nūdus -a -um,453
nox noctis f.,879
novus -a -um,859
"nihil, nīl",943
pōnō pōnere posuī positum,896
perveniō -venīre -vēnī -ventum,589
pertineō -tinēre -tinuī,132
perpetuus -a -um,107
permittō -mittere -mīsī -missum,296
perīculum -ī n.,733
pergō pergere perrēxī perrēctum,177
pereō -īre -iī -itum,730
perdō -dere -didī -ditum,510
per,968
pendō pendere pependī pēnsum,10
pēs pedis m.,799
petō petere petīvī petītum,915
pondus ponderis n.,362
poēta -ae m.,85
poena -ae f.,775
plērus- plēra- plērumque,30
plērumque,24
plēnus -a -um,539
plēbs plēbis f.,349
placeō placēre placuī placitum,711
pius -a -um,250
pietās -tātis f.,231
pellō pellere pepulī pulsum,435
pecus -oris n.,432
pars partis f.,933
pariō parere peperī partum,169
pāreō pārēre pāruī,151
parēns -ntis m./f.,808
parcō parcere pepercī parsum,586
parō -āre,838
pār paris,717
paene,54
ōtium -ī n.,283
ostendō ostendere ostendī ostentum,627
parum,794
parvus -a -um,855
pateō patēre patuī,448
pecūnia -ae f.,468
pectus -oris n.,815
peccō -āre,206
pāx pācis f.,610
pauper -eris,154
"paulō, paulum",126
paucī -ae -a,140
patria -ae f.,656
patior patī passus sum,813
pater patris m.,927
modo,846
mittō mittere mīsī missum,884
miser misera miserum,861
misceō miscēre miscuī mixtum,573
mīror mīrārī mīrātus sum,494
mīlle (pl.) mīlia,751
modus -ī m.,803
moenia -ium n. pl.,405
mollis -e,642
moneō monēre monuī monitum,287
mōns montis m.,756
mora -ae f.,599
morbus -ī m.,340
morior morī mortuus sum,745
moror morārī morātus sum,417
